epoch,global_step_end,train_loss,val_loss,mean_dice,mean_iou,pixel_acc,pixel_precision,pixel_recall
1,679,0.17930501634707682,0.1138489722767297,0.964910548231361,0.933295526705742,0.9845619363628104,0.9547752462425694,0.9801154657671305
2,1358,0.08976045280519396,0.07322881346678033,0.9722516113626104,0.9470750003422274,0.9879747446731644,0.9727182975004908,0.9757148663215683
3,2037,0.061695963528352916,0.05564844297135577,0.9742691264304066,0.950644797859787,0.9888322903085771,0.9817139119391193,0.9701022509020188
4,2716,0.04967070770873764,0.047571655340930996,0.9755552326878584,0.953056597501053,0.9893350613519937,0.9748013697858214,0.9795123615079135
5,3395,0.043693051598033425,0.04505233249681837,0.9764748242682993,0.9547367265792945,0.9897076608687062,0.9770783556211641,0.9787532786716259
