epoch,step_in_epoch,global_step,train_loss,lr
1,1,1,0.8934246301651001,5e-05
1,2,2,0.8942326307296753,5e-05
1,3,3,0.9118226170539856,5e-05
1,4,4,0.839015007019043,5e-05
1,5,5,0.8254989385604858,5e-05
1,6,6,0.8628354668617249,5e-05
1,7,7,0.8493005037307739,5e-05
1,8,8,0.798434317111969,5e-05
1,9,9,0.8521777391433716,5e-05
1,10,10,0.8153257369995117,5e-05
1,11,11,0.8100825548171997,5e-05
1,12,12,0.8523551225662231,5e-05
1,13,13,0.8307034969329834,5e-05
1,14,14,0.9064309597015381,5e-05
1,15,15,0.8083637356758118,5e-05
1,16,16,0.7665164470672607,5e-05
1,17,17,0.7511444091796875,5e-05
1,18,18,0.8358175754547119,5e-05
1,19,19,0.7848924398422241,5e-05
1,20,20,0.8129349946975708,5e-05
1,21,21,0.7377688884735107,5e-05
1,22,22,0.8520367741584778,5e-05
1,23,23,0.7835990786552429,5e-05
1,24,24,0.7352967858314514,5e-05
1,25,25,0.8233071565628052,5e-05
1,26,26,0.7625775337219238,5e-05
1,27,27,0.8612619638442993,5e-05
1,28,28,0.7695727348327637,5e-05
1,29,29,0.7104117274284363,5e-05
1,30,30,0.7103402018547058,5e-05
1,31,31,0.7566419839859009,5e-05
1,32,32,0.7771254181861877,5e-05
1,33,33,0.6576563119888306,5e-05
1,34,34,0.7050166726112366,5e-05
1,35,35,0.838475227355957,5e-05
1,36,36,0.7781398296356201,5e-05
1,37,37,0.7560713291168213,5e-05
1,38,38,0.711341142654419,5e-05
1,39,39,0.7298690676689148,5e-05
1,40,40,0.6605628728866577,5e-05
1,41,41,0.7461371421813965,5e-05
1,42,42,0.7415395975112915,5e-05
1,43,43,0.7063473463058472,5e-05
1,44,44,0.6957391500473022,5e-05
1,45,45,0.6725021600723267,5e-05
1,46,46,0.6684606075286865,5e-05
1,47,47,0.7603482007980347,5e-05
1,48,48,0.7051968574523926,5e-05
1,49,49,0.6760696172714233,5e-05
1,50,50,0.7794559001922607,5e-05
1,51,51,0.6862571239471436,5e-05
1,52,52,0.7239847183227539,5e-05
1,53,53,0.7027788162231445,5e-05
1,54,54,0.6787716150283813,5e-05
1,55,55,0.7707947492599487,5e-05
1,56,56,0.8078242540359497,5e-05
1,57,57,0.7439469695091248,5e-05
1,58,58,0.7189898490905762,5e-05
1,59,59,0.7243046760559082,5e-05
1,60,60,0.6905217170715332,5e-05
1,61,61,0.6846428513526917,5e-05
1,62,62,0.6338422894477844,5e-05
1,63,63,0.6394593119621277,5e-05
1,64,64,0.6735943555831909,5e-05
1,65,65,0.6900394558906555,5e-05
1,66,66,0.6710318326950073,5e-05
1,67,67,0.7550376653671265,5e-05
1,68,68,0.698807954788208,5e-05
1,69,69,0.6859955191612244,5e-05
1,70,70,0.6630654335021973,5e-05
1,71,71,0.6862678527832031,5e-05
1,72,72,0.6443817615509033,5e-05
1,73,73,0.7192943096160889,5e-05
1,74,74,0.6313825249671936,5e-05
1,75,75,0.6551941633224487,5e-05
1,76,76,0.6694244146347046,5e-05
1,77,77,0.6633854508399963,5e-05
1,78,78,0.7105554342269897,5e-05
1,79,79,0.6321662664413452,5e-05
1,80,80,0.6609193682670593,5e-05
1,81,81,0.6758403182029724,5e-05
1,82,82,0.716570258140564,5e-05
1,83,83,0.6227753758430481,5e-05
1,84,84,0.6223124265670776,5e-05
1,85,85,0.5923967361450195,5e-05
1,86,86,0.6265714168548584,5e-05
1,87,87,0.6309769749641418,5e-05
1,88,88,0.6658872365951538,5e-05
1,89,89,0.7691831588745117,5e-05
